"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.34967396026021,0.738,0.285,0,"Macrophage","CCL1"
0,1.73082696808315,0.975,0.715,0,"Macrophage","TNF"
0,2.02551069224567,0.845,0.597,0,"Macrophage","TENM2"
0,1.78507985713246,0.898,0.661,0,"Macrophage","RGS16"
0,1.96825610662614,0.881,0.66,0,"Macrophage","CCL8"
0,1.95723106104537,0.752,0.54,0,"Macrophage","TCHH"
0,1.99498013889128,0.953,0.77,0,"Macrophage","RCAN1"
0,1.82360876920627,0.983,0.803,0,"Macrophage","CCL2"
0,1.66959996530956,0.78,0.614,0,"Macrophage","PIF1"
0,1.96327289743099,0.888,0.728,0,"Macrophage","DNAAF1"
0,2.25593718712176,0.513,0.36,0,"Macrophage","KCNA1"
0,1.79431469157084,0.861,0.726,0,"Macrophage","NPHS1"
0,1.99039870080026,0.945,0.848,0,"Macrophage","IL6"
0,1.87414110410647,1,0.957,0,"Macrophage","CCL3L1"
0,1.72203603642625,1,0.978,0,"Macrophage","CCL3"
0,1.74726314450011,1,0.984,0,"Macrophage","CCL4"
0,1.86267704607918,1,0.987,0,"Macrophage","CCL4L2"
1.06596542782472e-188,1.73929681431273,0.319,0.227,2.13193085564944e-185,"Macrophage","AC100849.1"
6.57788948220773e-129,1.74871252086205,0.476,0.418,1.31557789644155e-125,"Macrophage","TNFSF18"
2.07891947306031e-102,2.00863768680557,0.162,0.236,4.15783894612061e-99,"Macrophage","RAD51AP2"
0,1.39179013867693,0.812,0.341,0,"Microglia","MCM10"
0,1.30487619844657,0.89,0.506,0,"Microglia","MMP7"
0,1.23124420960732,0.805,0.459,0,"Microglia","CDT1"
0,1.86475249281831,0.69,0.422,0,"Microglia","MYOZ2"
0,1.13649337864005,0.687,0.438,0,"Microglia","TUBB1"
0,1.13673538629756,0.798,0.554,0,"Microglia","TK1"
0,1.22649652053962,0.773,0.537,0,"Microglia","FABP4"
0,1.32653871216777,0.716,0.49,0,"Microglia","MRC1"
0,1.62864065367188,0.957,0.734,0,"Microglia","RAB42"
0,1.17571704547676,0.807,0.633,0,"Microglia","F13A1"
0,1.23917263572888,0.972,0.799,0,"Microglia","GCHFR"
0,1.42973326383354,0.443,0.271,0,"Microglia","CALB2"
0,1.55480815829218,0.689,0.534,0,"Microglia","CCL13"
0,1.21850997345513,0.954,0.799,0,"Microglia","CYP19A1"
0,1.89749695555523,0.481,0.348,0,"Microglia","CD209"
0,2.7591326307521,0.358,0.243,0,"Microglia","AP001189.1"
0,1.68819704466093,0.157,0.2,0,"Microglia","SYT4"
7.40064742763624e-198,2.06868926882066,0.373,0.3,1.48012948552725e-194,"Microglia","MMP12"
3.30728393486237e-47,1.1319692210078,0.426,0.311,6.61456786972474e-44,"Microglia","TMEM40"
3.03212010505055e-36,1.34399845584536,0.255,0.241,6.0642402101011e-33,"Microglia","AC011139.1"
0,2.16965850869523,0.703,0.425,0,"Dendritic Cell","AC122108.2"
0,2.29667439081066,0.95,0.685,0,"Dendritic Cell","HSPH1"
0,3.03246124454089,0.754,0.503,0,"Dendritic Cell","HSPA6"
0,1.66393276712686,0.428,0.191,0,"Dendritic Cell","AL590434.1"
0,2.57016748813078,0.988,0.757,0,"Dendritic Cell","DNAJB1"
0,3.01779998665767,0.993,0.762,0,"Dendritic Cell","HSPA1B"
0,2.58138038431699,0.814,0.587,0,"Dendritic Cell","BAG3"
0,1.5574209478854,0.783,0.565,0,"Dendritic Cell","HSPB1"
0,1.64075138916589,0.949,0.736,0,"Dendritic Cell","IER5"
0,2.58180620678091,0.417,0.211,0,"Dendritic Cell","ANGPTL7"
0,1.9919374292728,0.503,0.31,0,"Dendritic Cell","FCRLA"
0,2.27913500904706,0.771,0.583,0,"Dendritic Cell","DNAJA4"
0,2.04615576161452,0.74,0.553,0,"Dendritic Cell","ZFAND2A"
0,1.75248486797701,0.61,0.425,0,"Dendritic Cell","DNAJB4"
0,3.09512186284425,0.999,0.824,0,"Dendritic Cell","HSPA1A"
0,3.43760278448393,0.502,0.341,0,"Dendritic Cell","AP000911.1"
0,1.9048029815219,1,0.915,0,"Dendritic Cell","HSP90AA1"
4.17794395956353e-286,1.53817181095405,0.441,0.318,8.35588791912706e-283,"Dendritic Cell","LINC02158"
5.48476417623914e-136,1.51821433713197,0.491,0.415,1.09695283524783e-132,"Dendritic Cell","BCO2"
2.5736300797954e-132,1.94071487861554,0.306,0.262,5.14726015959079e-129,"Dendritic Cell","AL031283.2"
0,6.2014786481158,0.062,0.4,0,"Neutrophil","FCRL2"
0,5.82963318004268,0.07,0.289,0,"Neutrophil","LYPD2"
0,4.78118669508456,0.969,0.835,0,"Neutrophil","VCAN"
0,4.0381787235214,0.698,0.765,0,"Neutrophil","MARCO"
0,4.70843320248948,0.689,0.756,0,"Neutrophil","FCN1"
0,5.00622056008664,0.91,0.847,0,"Neutrophil","EREG"
0,5.0166613335734,0.822,0.879,0,"Neutrophil","SERPINB2"
0,4.09998110722367,0.917,0.894,0,"Neutrophil","CXCL3"
0,4.35469987733939,0.689,0.674,0,"Neutrophil","CD300E"
1.25166035629792e-287,5.88322491077811,0.712,0.861,2.50332071259584e-284,"Neutrophil","CXCL5"
4.7181992350417e-226,4.01794520955335,0.643,0.715,9.43639847008341e-223,"Neutrophil","PTGES"
1.70218689404066e-183,4.44988135346838,0.291,0.419,3.40437378808132e-180,"Neutrophil","NRG1"
1.62580875015183e-127,4.70039508647878,0.61,0.749,3.25161750030367e-124,"Neutrophil","NT5E"
1.21543166457625e-120,3.89503317834849,0.327,0.421,2.4308633291525e-117,"Neutrophil","SPINK1"
6.21671538063201e-114,4.43268714610976,0.549,0.687,1.2433430761264e-110,"Neutrophil","LINC01705"
1.48059415925738e-53,4.40046400862365,0.578,0.679,2.96118831851477e-50,"Neutrophil","CA12"
4.94651656764396e-23,4.19422435793397,0.516,0.586,9.89303313528793e-20,"Neutrophil","RETN"
1.56355539490093e-15,4.52706123958537,0.549,0.767,3.12711078980186e-12,"Neutrophil","LGALS2"
5.43858815213816e-12,4.6620303052119,0.451,0.687,1.08771763042763e-08,"Neutrophil","MET"
3.12036109068475e-08,4.22167736823349,0.502,0.488,6.2407221813695e-05,"Neutrophil","PPBP"
0,5.11942204566471,0.064,0.644,0,"B Cell","LTF"
0,5.02024876308686,0.933,0.5,0,"B Cell","ANXA3"
0,5.3933324844352,0.057,0.445,0,"B Cell","LCN2"
0,4.37057220071542,0.695,0.319,0,"B Cell","AC084871.2"
0,4.40276104636581,0.082,0.435,0,"B Cell","TRPM6"
0,5.87735123654519,0.978,0.663,0,"B Cell","CAMP"
0,4.86423858100063,0.8,0.488,0,"B Cell","MMP25"
0,5.05125366070067,0.895,0.618,0,"B Cell","CDA"
0,6.42962555437079,0.855,0.58,0,"B Cell","LINC00664"
0,4.62964681734535,0.979,0.709,0,"B Cell","IFITM2"
0,5.86526837441456,0.927,0.658,0,"B Cell","STEAP4"
0,6.69545853031384,0.657,0.512,0,"B Cell","S100P"
0,5.87401272131516,0.095,0.102,0,"B Cell","BMX"
0,6.81364022484575,0.032,0.029,0,"B Cell","MS4A3"
5.24940988113207e-304,6.87790845775973,0.2,0.344,1.04988197622641e-300,"B Cell","PI3"
2.12568676338205e-129,4.78978193407044,0.528,0.396,4.25137352676411e-126,"B Cell","APOBEC3A"
7.93056746647312e-100,4.50723790862394,0.523,0.475,1.58611349329462e-96,"B Cell","RIPOR2"
1.71744087078897e-88,5.60544096000073,0.516,0.394,3.43488174157795e-85,"B Cell","SLPI"
1.3416011420236e-34,5.69544387442477,0.299,0.386,2.68320228404721e-31,"B Cell","ALPL"
8.11682072063807e-33,4.36898935174418,0.352,0.591,1.62336414412761e-29,"B Cell","CST7"
0,4.80387256370023,0.963,0.546,0,"Glia/Neuronal cell","FABP7"
0,4.70132278457666,0.84,0.443,0,"Glia/Neuronal cell","PTPRZ1"
0,4.22749843059305,0.943,0.592,0,"Glia/Neuronal cell","TUBB2B"
0,4.19812496091474,0.935,0.587,0,"Glia/Neuronal cell","HEPN1"
0,4.17808751101904,0.96,0.628,0,"Glia/Neuronal cell","C1orf61"
0,4.70912899612943,0.924,0.593,0,"Glia/Neuronal cell","HEPACAM"
0,4.57180195978129,0.914,0.591,0,"Glia/Neuronal cell","GPM6A"
0,5.28579052496142,0.835,0.512,0,"Glia/Neuronal cell","NRXN1"
0,3.99172250875842,0.924,0.619,0,"Glia/Neuronal cell","CXCL14"
0,3.92509947996504,0.797,0.54,0,"Glia/Neuronal cell","BCAN"
